Players,Nationality,Type,Price Paid,Team
Matthew Wade,Overseas,Wicket Keeper,"₹2,40,00,000",GT
Lockie Ferguson,Overseas,Bowler,"₹10,00,00,000",GT
Abhinav Sadarangani,Indian,Batsman,"₹2,60,00,000",GT
Rahul Tewatia,Indian,All-Rounder,"₹9,00,00,000",GT
Noor Ahmad,Overseas,Bowler,"₹30,00,000",GT
R. Sai Kishore,Indian,Bowler,"₹3,00,00,000",GT
Dominic Drakes,Overseas,All-Rounder,"₹1,10,00,000",GT
Vijay Shankar,Indian,All-Rounder,"₹1,40,00,000",GT
Jayant Yadav,Indian,All-Rounder,"₹1,70,00,000",GT
Darshan Nalkande,Indian,All-Rounder,"₹20,00,000",GT
Yash Dayal,Indian,Bowler,"₹3,20,00,000",GT
B. Sai Sudharsan,Indian,All-Rounder,"₹20,00,000",GT
Gurkeerat Singh,Indian,All-Rounder,"₹50,00,000",GT
Alzarri Joseph,Overseas,Bowler,"₹2,40,00,000",GT
Varun Aaron,Indian,Bowler,"₹50,00,000",GT
Pradeep Sangwan,Indian,All-Rounder,"₹20,00,000",GT
Pat Cummins,Overseas,All-Rounder,"₹7,25,00,000",KKR
Shreyas Iyer,Indian,Batsman,"₹12,25,00,000",KKR
Mohammad Nabi,Overseas,All-Rounder,"₹1,00,00,000",KKR
Nitish Rana,Indian,All-Rounder,"₹8,00,00,000",KKR
Sam Billings,Overseas,Wicket Keeper,"₹2,00,00,000",KKR
Umesh Yadav,Indian,Bowler,"₹2,00,00,000",KKR
Shivam Mavi,Indian,All-Rounder,"₹7,25,00,000",KKR
Sheldon Jackson,Indian,Wicket Keeper,"₹60,00,000",KKR
Ajinkya Rahane,Indian,Batsman,"₹1,00,00,000",KKR
Rinku Singh,Indian,Batsman,"₹55,00,000",KKR
Anukul Roy,Indian,All-Rounder,"₹20,00,000",KKR
Alex Hales,Overseas,Batsman,"₹1,50,00,000",KKR
Rasikh Dar,Indian,Bowler,"₹20,00,000",KKR
Tim Southee,Overseas,Bowler,"₹1,50,00,000",KKR
Baba Indrajith,Indian,Wicket Keeper,"₹20,00,000",KKR
Chamika Karunaratne,Overseas,All-Rounder,"₹50,00,000",KKR
Abhijeet Tomar,Indian,Batsman,"₹40,00,000",KKR
Aman Khan,Indian,All-Rounder,"₹20,00,000",KKR
Ramesh Kumar,Indian,Batsman,"₹20,00,000",KKR
Pratham Singh,Indian,Batsman,"₹20,00,000",KKR
Ashok Sharma,Indian,Bowler,"₹55,00,000",KKR
Quinton De Kock,Overseas,Wicket Keeper,"₹6,75,00,000",LSG
Manish Pandey,Indian,Batsman,"₹4,60,00,000",LSG
Jason Holder,Overseas,All-Rounder,"₹8,75,00,000",LSG
Deepak Hooda,Indian,All-Rounder,"₹5,75,00,000",LSG
Krunal Pandya,Indian,All-Rounder,"₹8,25,00,000",LSG
Mark Wood,Overseas,Bowler,"₹7,50,00,000",LSG
Avesh Khan,Indian,Bowler,"₹10,00,00,000",LSG
Ankit Singh Rajpoot,Indian,Bowler,"₹50,00,000",LSG
K. Gowtham,Indian,All-Rounder,"₹90,00,000",LSG
Dushmanta Chameera,Overseas,Bowler,"₹2,00,00,000",LSG
Shahbaz Nadeem,Indian,Bowler,"₹50,00,000",LSG
Manan Vohra,Indian,Batsman,"₹20,00,000",LSG
